,Week,Score,Variance
0,0,49.25,36.25
1,2,0.0,
2,4,0.0,
3,5,0.25,0.25000000000000006
4,6,0.0,0.0
5,7,0.75,0.9166666666666666
6,8,1.0,2.0
7,9,0.3333333333333333,0.33333333333333337
8,10,0.6666666666666666,1.3333333333333335
