,Week,Score,Variance
0,0,45.0,5.999999999999996
1,4,16.0,
2,5,0.5,1.0000000000000002
3,6,0.0,0.0
4,7,0.0,0.0
5,8,0.0,0.0
6,9,0.0,0.0
7,10,0.3333333333333333,0.33333333333333337
