,Score,Date,Time ended,Initial
0,44,2018-07-31,13:28,KT
1,57,2018-08-01,1:55,RB
2,45,2018-08-02,10:48,GM
3,51,2018-08-03,10:25,GM
4,0,2018-08-13,10:35,GM
5,0,2018-08-20,1:40,LM
6,1,2018-08-27,12:01,GM
7,0,2018-08-27,1:47,LM
8,0,2018-08-28,10:43,GM
9,0,2018-08-29,10:45,LM
10,0,2018-08-30,10:54,LM
11,0,2018-08-31,15:25,AW
12,0,2018-09-04,10:59,AW
13,1,2018-09-05,10:49,AW
14,2,2018-09-06,11:46,LM
15,0,2018-09-07,10:46,LM
16,0,2018-09-10,11:15,LM
17,0,2018-09-11,10:45,LM
18,3,2018-09-12,1:25,LM
19,1,2018-09-13,11:59,LM
20,0,2018-09-14,12:22,LM
21,0,2018-09-17,10:48,LM
22,1,2018-09-18,1:25,n/a
23,0,2018-09-19,12:00,BK
24,2,2018-09-20,1:58,AW
25,0,2018-09-21,11:25,RLm
