,Score,Date,Time ended,Initial
0,48,2018-07-31,13:28,KT
1,46,2018-08-01,1:55,RB
2,43,2018-08-02,10:48,GM
3,43,2018-08-03,10:25,GM
4,16,2018-08-21,12:47,GM
5,0,2018-08-27,12:01,gm
6,0,2018-08-27,1:47,LM
7,2,2018-08-28,10:43,GM
8,0,2018-08-29,10:45,LM
9,0,2018-08-30,10:54,LM
10,0,2018-08-31,11:45,GM
11,0,2018-09-04,10:59,AW
12,0,2018-09-05,10:49,AW
13,0,2018-09-06,11:46,LM
14,0,2018-09-07,10:46,LM
15,0,2018-09-10,11:15,LM
16,0,2018-09-11,10:45,LM
17,0,2018-09-12,1:08,LM
18,0,2018-09-13,12:21,LM
19,0,2018-09-14,12:39,LM
20,0,2018-09-17,11:05,LM
21,0,2018-09-18,1:42,rlm
22,1,2018-09-19,12:18,BK
23,0,2018-09-20,12:55,AW
24,0,2018-09-21,12:02,GM
