,Score,Date,Time ended,Initial
0,35,2018-08-27,GM,n/a
1,4,2018-09-10,11:10,LM
2,2,2018-09-18,n/a,AW
3,1,2018-09-19,11:05 AM,AW
4,1,2018-09-20,10:50,aw
5,2,2018-09-21,12:24,GM
6,3,2018-09-24,1:51,KG
7,1,2018-09-25,12:54,KG
8,5,2018-09-26,11:15,bk
9,10,2018-09-27,11:24,KG
10,6,2018-09-28,11:33,GM
11,34,2018-08-21,10:51 AM,GM
12,31,2018-08-22,10:49 AM,LM
13,35,2018-08-27,11:09,GM
