,Score,Date,Time ended,Initial
0,40,2018-08-27,3:17 PM,rlm
1,0,2018-09-10,11:10,LM
2,3,2018-09-18,n/a,BK
3,5,2018-09-19,11:44,KG
4,10,2018-09-20,1:15,AW
5,6,2018-09-21,12:25,rlm
6,2,2018-09-24,3:22,KG
7,0,2018-09-25,1:13,n/a
8,7,2018-09-26,11:36,bk
9,9,2018-09-27,12:09,AW
10,5,2018-09-28,11:09,RLM
11,50,2018-08-21,10:42 AM,GM
12,43,2018-08-22,10:49 AM,LM
