,Score,Date,Time ended,Initial
0,59,2018-06-20,11:52 AM,GM
1,58,2018-06-21,2:44 PM,RB
2,3,2018-07-09,3:25,LM
3,2,2018-07-10,10:47,LM
4,3,2018-07-12,2:05,KG
5,0,2018-07-16,2:44 AM,LM
6,0,2018-07-17,3:15,LM
7,0,2018-07-18,n/a,KG
8,0,2018-07-19,2:35,LM
9,0,2018-07-20,1:20,LM
10,0,2018-07-23,10:40,LM
11,0,2018-07-24,11:53,LM
12,0,2018-07-25,10:30,LM
13,0,2018-07-26,10:33,LM
14,0,2018-07-27,11:55,GM
15,5,2018-07-30,10:05,GM
16,8,2018-07-31,11:35,GM
17,7,2018-08-01,11:59,GM
18,9,2018-08-02,10:48,GM
19,4,2018-08-03,10:25,GM
20,5,2018-08-07,12:35,GM
