,Score,Date,Time ended,Initial
0,30,2018-08-21,10:42 AM,GM
1,30,2018-08-22,10:49 AM,LM
2,30,2018-08-27,3:17 PM,RLM
3,7,2018-09-10,11:10,LM
4,3,2018-09-18,n/a,bk
5,2,2018-09-19,11:32,KG
6,5,2018-09-20,1:15,AW
7,8,2018-09-21,12:25,rlm
8,10,2018-09-24,3:22,KG
9,13,2018-09-25,1:13,KG
10,0,2018-09-26,11:36,bk
11,10,2018-09-27,12:26,AW
12,7,2018-09-28,11:09,RLM
