,Score,Date,Time ended,Initial
0,33,2018-07-31,13:28,KT
1,30,2018-08-01,1:55,RB
2,33,2018-08-02,10:48,GM
3,36,2018-08-03,10:25,GM
4,0,2018-08-20,1:40,LM
5,0,2018-08-27,12:01,gm
6,0,2018-08-27,1:47,LM
7,0,2018-08-28,10:43,GM
8,0,2018-08-29,10:45,LM
9,0,2018-08-30,10:54,LM
10,0,2018-08-31,15:25,AW
11,0,2018-09-04,10:59,AW
12,0,2018-09-05,10:49,AW
13,0,2018-09-06,11:46,LM
14,0,2018-09-07,10:46,LM
15,0,2018-09-10,11:15,LM
16,0,2018-09-11,10:45,LM
17,0,2018-09-12,1:08,LM
18,0,2018-09-13,11:49,LM
19,0,2018-09-14,12:22,LM
20,0,2018-09-17,10:48,LM
21,0,2018-09-18,1:25,rlm
22,0,2018-09-19,12:00,BK
23,0,2018-09-20,1:58,AW
24,0,2018-09-21,11:25,RLM
