,Week,Score
0,0,35.0
1,1,32.5
2,2,41.5
3,3,40.0
4,4,48.4
5,6,0.0
6,8,0.0
7,9,0.3333333333333333
8,10,0.0
9,11,0.75
10,12,1.0
11,13,0.3333333333333333
12,14,0.75
