,Week,Score
0,-16,49.6
1,-15,50.0
2,-14,44.0
3,-13,46.333333333333336
4,-12,39.0
5,-11,37.5
6,-10,41.0
7,-9,44.666666666666664
8,-8,46.333333333333336
9,-7,40.0
10,-4,0.0
11,-2,6.0
12,-1,3.0
13,0,5.714285714285714
14,1,4.0
