,Week,Score
0,-16,29.6
1,-15,29.333333333333332
2,-14,27.333333333333332
3,-13,28.75
4,-12,29.333333333333332
5,-11,33.0
6,-10,29.0
7,-9,36.0
8,-8,31.333333333333332
9,-7,35.0
10,-4,4.0
11,-2,1.5
12,-1,3.0
13,0,5.428571428571429
14,1,6.5
