,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,33,2018-08-27,3:17 PM,RLM,6,1
1,1,12,2018-09-10,11:10,LM,20,4
2,2,17,2018-09-18,AFTERNOON,GM,28,5
3,3,20,2018-09-19,11:05,AW,29,5
4,4,21,2018-09-20,10:50,bk,30,6
5,5,15,2018-09-21,12:24,GM,31,6
6,6,14,2018-09-24,1:51,KG,34,6
7,7,17,2018-09-25,12:54,KG,35,7
8,8,19,2018-09-26,11:15,bk,36,7
9,9,24,2018-09-27,11:24,KG,37,7
10,10,19,2018-09-28,11:33,GM,38,7
11,11,30,2018-08-21,10:51 AM,GM,0,0
12,12,37,2018-08-22,11:55,GM,1,0
