,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,1,2018-07-31,11:25,GM,0,0
1,1,0,2018-08-01,1:55,RB,1,0
2,2,0,2018-08-02,10:48,GM,2,0
3,3,0,2018-08-03,10:25,GM,3,0
4,4,0,2018-08-21,12:47,GM,21,4
5,5,0,2018-08-27,12:01,gm,27,5
6,6,0,2018-08-27,1:47,LM,27,5
7,7,0,2018-08-28,10:43,GM,28,5
8,8,0,2018-08-29,10:45,LM,29,5
9,9,0,2018-08-30,10:54,LM,30,6
10,10,0,2018-08-31,11:45,GM,31,6
11,11,0,2018-09-04,10:59,AW,35,7
12,12,0,2018-09-05,10:49,AW,36,7
13,13,0,2018-09-06,11:46,LM,37,7
14,14,0,2018-09-07,10:46,LM,38,7
15,15,0,2018-09-10,11:15,LM,41,8
16,16,0,2018-09-11,10:45,LM,42,8
17,17,0,2018-09-12,1:25,LM,43,8
18,18,0,2018-09-13,12:21,LM,44,8
19,19,0,2018-09-14,12:39,LM,45,9
20,20,0,2018-09-17,11:05,LM,48,9
21,21,0,2018-09-18,1:42,rlm,49,9
22,22,0,2018-09-19,12:18,BK,50,10
23,23,0,2018-09-20,12:55,AW,51,10
24,24,0,2018-09-21,12:02,GM,52,10
