,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,2,2018-07-09,3:25,LM,20,4
1,1,0,2018-07-11,10:47,LM,22,4
2,2,0,2018-07-16,2:00,LM,27,5
3,3,0,2018-07-17,2:55 AM,LM,28,5
4,4,0,2018-07-18,n/a,KG,29,5
5,5,0,2018-07-19,10:43,LM,30,6
6,6,0,2018-07-20,1:20,LM,31,6
7,7,0,2018-07-23,10:40,LM,34,6
8,8,0,2018-07-24,11:53,LM,35,7
9,9,0,2018-07-25,10:30,LM,36,7
10,10,0,2018-07-26,10:33,LM,37,7
11,11,0,2018-07-27,11:55,GM,38,7
12,12,0,2018-07-30,10:05,GM,41,8
13,13,0,2018-07-31,11:35,GM,42,8
14,14,0,2018-08-01,11:59,GM,43,8
15,15,0,2018-08-02,10:48,GM,44,8
16,16,0,2018-08-03,10:25,GM,45,9
17,17,1,2018-08-07,12:35,GM,49,9
18,18,50,2018-06-19,10:45 AM,KT,0,0
19,19,54,2018-06-20,2:45 PM,LM,1,0
20,20,53,2018-06-21,12:02 PM,KT,2,0
