,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,40,2018-08-27,3:17 PM,rlm,6,1
1,1,0,2018-09-10,11:10,LM,20,4
2,2,3,2018-09-18,n/a,BK,28,5
3,3,5,2018-09-19,11:44,KG,29,5
4,4,10,2018-09-20,1:15,AW,30,6
5,5,6,2018-09-21,12:25,rlm,31,6
6,6,2,2018-09-24,3:22,KG,34,6
7,7,0,2018-09-25,1:13,n/a,35,7
8,8,7,2018-09-26,11:36,bk,36,7
9,9,9,2018-09-27,12:09,AW,37,7
10,10,5,2018-09-28,11:09,RLM,38,7
11,11,50,2018-08-21,10:42 AM,GM,0,0
12,12,43,2018-08-22,10:49 AM,LM,1,0
