,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,44,2018-07-31,13:28,KT,0,0
1,1,57,2018-08-01,1:55,RB,1,0
2,2,45,2018-08-02,10:48,GM,2,0
3,3,51,2018-08-03,10:25,GM,3,0
4,4,0,2018-08-13,10:35,GM,13,2
5,5,0,2018-08-20,1:40,LM,20,4
6,6,1,2018-08-27,12:01,GM,27,5
7,7,0,2018-08-27,1:47,LM,27,5
8,8,0,2018-08-28,10:43,GM,28,5
9,9,0,2018-08-29,10:45,LM,29,5
10,10,0,2018-08-30,10:54,LM,30,6
11,11,0,2018-08-31,15:25,AW,31,6
12,12,0,2018-09-04,10:59,AW,35,7
13,13,1,2018-09-05,10:49,AW,36,7
14,14,2,2018-09-06,11:46,LM,37,7
15,15,0,2018-09-07,10:46,LM,38,7
16,16,0,2018-09-10,11:15,LM,41,8
17,17,0,2018-09-11,10:45,LM,42,8
18,18,3,2018-09-12,1:25,LM,43,8
19,19,1,2018-09-13,11:59,LM,44,8
20,20,0,2018-09-14,12:22,LM,45,9
21,21,0,2018-09-17,10:48,LM,48,9
22,22,1,2018-09-18,1:25,n/a,49,9
23,23,0,2018-09-19,12:00,BK,50,10
24,24,2,2018-09-20,1:58,AW,51,10
25,25,0,2018-09-21,11:25,RLm,52,10
