,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,30,2018-08-21,10:42 AM,GM,0,0
1,1,30,2018-08-22,10:49 AM,LM,1,0
2,2,30,2018-08-27,3:17 PM,RLM,6,1
3,3,7,2018-09-10,11:10,LM,20,4
4,4,3,2018-09-18,n/a,bk,28,5
5,5,2,2018-09-19,11:32,KG,29,5
6,6,5,2018-09-20,1:15,AW,30,6
7,7,8,2018-09-21,12:25,rlm,31,6
8,8,10,2018-09-24,3:22,KG,34,6
9,9,13,2018-09-25,1:13,KG,35,7
10,10,0,2018-09-26,11:36,bk,36,7
11,11,10,2018-09-27,12:26,AW,37,7
12,12,7,2018-09-28,11:09,RLM,38,7
