,Score,Date,Time ended,Initial
0,37,7/9/18,12:19,LM
1,35,7/10/18,11:43,KT
2,31,7/11/18,11:44,KG
3,36,7/12/18,10:41 AM,KT
4,36,7/13/18,10:33,GM
5,36,7/16/18,12:36,KG
6,29,7/17/18,4:06,RB
7,38,7/20/18,1:17,KM
8,45,7/24/18,1:45,GM
9,36,7/25/18,1:28,LM
10,41,7/26/18,1:33,KT
11,43,7/27/18,10:59,GM
12,45,7/30/18,1:13,RB
13,44,7/31/18,13:28,KT
14,57,8/1/18,1:55,RB
15,45,8/2/18,10:48,GM
16,51,8/3/18,10:25,GM
17,0,8/13/18,10:35,GM
0,0,8/20/18,1:40,LM
1,1,8/27/18,12:01,GM
2,0,8/27/18,1:47,LM
3,0,8/28/18,10:43,GM
4,0,8/29/18,10:45,LM
5,0,8/30/18,10:54,LM
6,0,8/31/18,15:25,AW
7,0,9/4/18,10:59,AW
8,1,9/5/18,10:49,AW
9,2,9/6/18,11:46,LM
10,0,9/7/18,10:46,LM
11,0,9/10/18,11:15,LM
12,0,9/11/18,10:45,LM
13,3,9/12/18,1:25,LM
14,1,9/13/18,11:59,LM
15,0,9/14/18,12:22,LM
16,0,9/17/18,10:48,LM
17,1,9/18/18,1:25,n/a
18,0,9/19/18,12:00,BK
19,2,9/20/18,1:58,AW
20,0,9/21/18,11:25,RLm
