,Score,Date,Time ended,Initial
0,6,7/9/18,3:25,LM
1,0,7/12/18,12:34,LM
2,0,7/16/18,2:20,LM
3,0,7/17/18,2:55 AM,LM
4,0,7/18/18,n/a,RB
5,0,7/19/18,2:35,LM
6,0,7/20/18,1:20,LM
7,0,7/23/18,10:40,LM
8,0,7/24/18,11:53,LM
9,0,7/25/18,10:30,LM
10,0,7/26/18,10:33,LM
11,0,7/27/18,11:55,GM
12,0,7/30/18,10:05,GM
13,0,7/31/18,11:35,GM
14,0,8/1/18,11:59,GM
15,0,8/2/18,10:48,GM
16,0,8/3/18,10:25,GM
17,0,8/7/18,12:35,GM
0,0,4/5/18,2:28 AM,CG
1,0,4/9/18,2:25PM,KD
2,0,4/10/18,10:44 AM,CG
3,0,4/11/18,1:10 PM,KT
4,9,4/12/18,1:20 PM,GM
5,6,4/13/18,1:22PM,AD
6,25,4/16/18,11:15 AM,GM
7,17,4/17/18,10:41 AM,CG
8,17,4/18/18,11:56 AM,PL
9,23,4/19/18,12:17 PM,KT
10,25,4/20/18,12:45 PM,GM
11,18,4/23/18,11:03 AM,PL
12,24,4/24/18,12:01 PM,KT
13,22,4/25/18,2:49 PM,RB
14,6,4/26/18,10:49 AM,AD
15,12,4/27/18,10:49 AM,PL
16,20,4/30/18,10:45 AM,KT
17,15,5/1/18,10:42 AM,CG
18,18,5/2/18,11:05 AM,ED
19,25,5/3/18,11:11 AM,AD
20,30,5/4/18,1:13 AM,GM
21,20,5/7/18,10:35 AM,ED
22,21,5/8/18,11:44 AM,CG
23,27,5/9/18,1:15 PM,PL
24,22,5/10/18,11:15 AM,AD
25,24,5/11/18,10:35 AM,PL
26,29,5/14/18,1:20 PM,KT
27,25,5/15/18,10:38 AM,CG
28,26,5/16/18,1:35 PM,KD
29,24,5/17/18,1:46 AM,GM
30,33,5/18/18,11:53 AM,PL
31,31,5/21/18,10:25 AM,ED
32,29,5/22/18,11:56 AM,CG
33,34,5/23/18,12:49 PM,PL
34,35,5/24/18,12:05 PM,KT
35,35,5/25/18,2:42 AM,gm
36,42,5/29/18,12:11PM,AD
37,43,5/30/18,1:02 PM,PL
38,35,5/31/18,10:43 AM,JR
39,31,6/1/18,10:55 AM,PL
40,36,6/4/18,1:57 PM,KD
41,40,6/5/18,10:12 AM,ED
42,45,6/20/18,2:45 PM,LM
43,47,6/21/18,11:23 AM,KT
