,Score,Date,Time ended,Initial
0,40,8/27/18,3:17 PM,rlm
1,0,9/10/18,11:10,LM
2,3,9/18/18,n/a,BK
3,5,9/19/18,11:44,KG
4,10,9/20/18,1:15,AW
5,6,9/21/18,12:25,rlm
6,2,9/24/18,3:22,KG
7,0,9/25/18,1:13,n/a
8,7,9/26/18,11:36,bk
9,9,9/27/18,12:09,AW
10,5,9/28/18,11:09,RLM
11,7,10/1/18,10:42:00,RLM
12,6,10/2/18,10:50,rlm
13,5,10/3/18,1:55,RB
14,5,10/4/18,13:01,KT
15,3,10/5/18,12:43,n/a
16,4,10/8/18,11:50,KG
0,50,7/9/18,10:30,LM
1,48,7/10/18,12:05,KT
2,51,7/11/18,10:59,LM
3,49,7/12/18,11:46,GM
4,50,7/13/18,10:33,GM
5,37,7/16/18,10:23,RB
6,39,7/17/18,2:25,RB
7,74,7/18/18,11:38,GM
8,51,7/19/18,10:28,KT
9,42,7/20/18,10:20,LM
10,39,7/23/18,10:18,GM
11,50,7/24/18,10:58,LM
12,44,7/25/18,11:20,GM
13,45,7/26/18,10:33,KT
14,39,7/30/18,10:05,GM
15,38,7/31/18,12:51,KT
16,40,8/1/18,11:59,GM
17,40,8/6/18,10:25,GM
18,35,8/7/18,12:10,KT
19,41,8/8/18,12:49,RB
20,44,8/13/18,3:26,LM
21,49,8/14/18,12:18,LM
22,41,8/15/18,2:07,RB
23,46,8/20/18,12:27,GM
24,50,8/21/18,10:42 AM,GM
25,43,8/22/18,10:49 AM,LM
