,Score,Date,Time ended,Initial
0,0,7/12/18,11:46,GM
1,0,7/13/18,1:21,JR
2,0,7/16/18,11:03,GM
3,0,7/17/18,1:12,KT
4,0,7/20/18,1:17,MH
5,0,7/24/18,10:58,LM
6,0,7/25/18,1:28,LM
7,0,7/26/18,1:33,KT
8,0,7/27/18,11:55,GM
9,0,7/30/18,1:57,RB
10,1,7/31/18,11:25,GM
11,0,8/1/18,1:55,RB
12,0,8/2/18,10:48,GM
13,0,8/3/18,10:25,GM
14,0,8/21/18,12:47,GM
0,0,8/27/18,12:01,gm
1,0,8/27/18,1:47,LM
2,0,8/28/18,10:43,GM
3,0,8/29/18,10:45,LM
4,0,8/30/18,10:54,LM
5,0,8/31/18,11:45,GM
6,0,9/4/18,10:59,AW
7,0,9/5/18,10:49,AW
8,0,9/6/18,11:46,LM
9,0,9/7/18,10:46,LM
10,0,9/10/18,11:15,LM
11,0,9/11/18,10:45,LM
12,0,9/12/18,1:25,LM
13,0,9/13/18,12:21,LM
14,0,9/14/18,12:39,LM
15,0,9/17/18,11:05,LM
16,0,9/18/18,1:42,rlm
17,0,9/19/18,12:18,BK
18,0,9/20/18,12:55,AW
19,0,9/21/18,12:02,GM
