,Score,Date,Time ended,Initial
0,2,7/9/18,3:25,LM
1,0,7/11/18,10:47,LM
2,0,7/16/18,2:00,LM
3,0,7/17/18,2:55 AM,LM
4,0,7/18/18,n/a,KG
5,0,7/19/18,10:43,LM
6,0,7/20/18,1:20,LM
7,0,7/23/18,10:40,LM
8,0,7/24/18,11:53,LM
9,0,7/25/18,10:30,LM
10,0,7/26/18,10:33,LM
11,0,7/27/18,11:55,GM
12,0,7/30/18,10:05,GM
13,0,7/31/18,11:35,GM
14,0,8/1/18,11:59,GM
15,0,8/2/18,10:48,GM
16,0,8/3/18,10:25,GM
17,1,8/7/18,12:35,GM
0,25,4/4/18,1:01 PM,PL
1,33,4/5/18,3:47 AM,CG
2,34,4/9/18,11:55 AM,ED
3,39,4/10/18,11:49 AM,CG
4,35,4/11/18,10:32 AM,ED
5,41,4/12/18,11:47 AM,KT
6,49,4/13/18,2:48 PM,GM
7,45,4/16/18,11:15 AM,GM
8,37,4/17/18,11:08AM,AD
9,45,4/18/18,2:56 PM,KD
10,39,4/19/18,10:47AM,AD
11,48,4/20/18,2:00PM,AD
12,41,4/23/18,11:03 AM,PL
13,43,4/24/18,11:09 AM,CG
14,51,4/25/18,12:02 PM,PL
15,47,2/26/18,11:07 AM,AD
16,48,4/27/18,1:32 PM,GM
17,49,4/30/18,2:59 PM,KD
18,41,5/1/18,11:22 AM,CG
19,26,5/2/18,11:05 AM,ED
20,45,5/3/18,11:11 AM,AD
21,47,5/4/18,11:56 AM,PL
22,46,5/7/18,10:35 AM,ED
23,50,5/8/18,10:21 AM,CG
24,47,5/9/18,10:05am,ED
25,47,5/10/18,10:43 AM,AD
26,43,5/11/18,10:35 AM,PL
27,50,5/14/18,10:20 AM,ED
28,48,5/15/18,12:13 PM,CG
29,43,5/16/18,10:20 AM,ED
30,53,5/17/18,11:57 AM,KT
31,61,5/18/18,2:36PM,AD
32,43,5/21/18,10:25 AM,ED
33,48,5/22/18,2:26 AM,GM
34,57,5/23/18,12:49 PM,PL
35,51,5/24/18,10:58 AM,KT
36,52,5/25/18,1:33PM,AD
37,28,5/29/18,10:55 AM,CG
38,53,5/30/18,1:02 PM,PL
39,57,5/31/18,12:20 PM,KT
40,47,6/1/18,10:55 AM,PL
41,54,6/4/18,10:51 AM,ED
42,50,6/19/18,10:45 AM,KT
43,54,6/20/18,2:45 PM,LM
44,53,6/21/18,12:02 PM,KT
