,Score,Date,Time ended,Initial
0,35,7/9/18,12:19,LM
1,38,7/10/18,11:43,KT
2,31,7/11/18,11:44,KG
3,32,7/12/18,10:41 AM,KT
4,28,7/13/18,10:33,GM
5,41,7/16/18,12:36,KG
6,32,7/17/18,4:06,RB
7,36,7/20/18,1:17,KM
8,34,7/24/18,1:45,GM
9,36,7/25/18,1:28,LM
10,35,7/26/18,1:33,KT
11,38,7/27/18,10:59,GM
12,37,7/30/18,1:13,RB
13,33,7/31/18,13:28,KT
14,30,8/1/18,1:55,RB
15,33,8/2/18,10:48,GM
16,36,8/3/18,10:25,GM
0,0,8/20/18,1:40,LM
1,0,8/27/18,12:01,gm
2,0,8/27/18,1:47,LM
3,0,8/28/18,10:43,GM
4,0,8/29/18,10:45,LM
5,0,8/30/18,10:54,LM
6,0,8/31/18,15:25,AW
7,0,9/4/18,10:59,AW
8,0,9/5/18,10:49,AW
9,0,9/6/18,11:46,LM
10,0,9/7/18,10:46,LM
11,0,9/10/18,11:15,LM
12,0,9/11/18,10:45,LM
13,0,9/12/18,1:08,LM
14,0,9/13/18,11:49,LM
15,0,9/14/18,12:22,LM
16,0,9/17/18,10:48,LM
17,0,9/18/18,1:25,rlm
18,0,9/19/18,12:00,BK
19,0,9/20/18,1:58,AW
20,0,9/21/18,11:25,RLM
