,Score,Date,Time ended,Initial
0,33,8/27/18,3:17 PM,RLM
1,12,9/10/18,11:10,LM
2,17,9/18/18,AFTERNOON,GM
3,20,9/19/18,11:05,AW
4,21,9/20/18,10:50,bk
5,15,9/21/18,12:24,GM
6,14,9/24/18,1:51,KG
7,17,9/25/18,12:54,KG
8,19,9/26/18,11:15,bk
9,24,9/27/18,11:24,KG
10,19,9/28/18,11:33,GM
11,15,10/1/18,12:47,RLM
12,19,10/2/18,11:13,rlm
13,11,10/3/18,1:55,RB
14,7,10/4/18,12:41,KT
15,17,10/5/18,12:07,JR
16,25,10/8/18,11:35,KG
17,13,10/9/18,11:30,rlm
0,37,7/9/18,12:19,LM
1,40,7/10/18,11:43,KT
2,32,7/11/18,11:44,LM
3,33,7/12/18,11:46,GM
4,35,7/13/18,12:56,JR
5,30,7/16/18,11:03,GM
6,39,7/17/18,1:12,KT
7,38,7/18/18,10:47,GM
8,34,7/19/18,11:25,KT
9,35,7/20/18,10:20,LM
10,45,7/23/18,11:13,GM
11,41,7/24/18,11:01,LM
12,36,7/25/18,10:30,LM
13,39,7/26/18,10:33,KT
14,42,7/30/18,11:10,GM
15,41,7/31/18,12:49,KT
16,41,8/1/18,11:59,GM
17,38,8/6/18,10:25,GM
18,38,8/7/18,11:18,KT
19,39,8/8/18,10:38,LM
20,40,8/13/18,10:35,LM
21,36,8/14/18,11:03,KT
22,34,8/15/18,11:40,GM
23,34,8/20/18,11:06,LM
24,30,8/21/18,10:51 AM,GM
25,37,8/22/18,11:55,GM
