,Score,Date,Time ended,Initial
0,0,4/5/18,1:56 PM,GM
1,0,4/9/18,2:25PM,KD
2,0,4/10/18,10:44 AM,CG
3,0,4/11/18,10:32 AM,ED
4,0,4/12/18,11:47 AM,KT
5,2,4/13/18,1:52PM,AD
6,0,4/16/18,2:25 PM,KD
7,0,4/17/18,10:41 AM,CG
8,19,4/18/18,11:56 AM,PL
9,19,4/19/18,10:47AM,AD
10,20,4/20/18,2:00PM,AD
11,18,4/23/18,11:03 AM,PL
12,19,4/24/18,12:22 PM,CG
13,14,4/25/18,12:02 PM,PL
14,19,4/26/18,12:11 PM,KT
15,10,4/27/18,10:49 AM,PL
16,22,4/30/18,2:59 PM,KD
17,28,5/1/18,11:22 AM,CG
18,19,5/2/18,11:05 AM,ED
19,13,5/3/18,10:53 AM,AD
20,24,5/4/18,11:56 AM,PL
21,27,5/7/18,10:35 AM,ED
22,33,5/8/18,11:21 AM,CG
23,35,5/9/18,10:05am,ED
24,35,5/10/18,1:19 AM,gm
25,27,5/11/18,10:52 AM,PL
26,39,5/14/18,10:20 AM,ED
27,36,5/15/18,11:06 AM,CG
28,32,5/16/18,11:55 AM,ED
29,38,5/17/18,11:57 AM,KT
30,37,5/18/18,3:07 AM,GM
31,39,5/21/18,11:24 AM,ED
32,34,5/22/18,2:06 AM,GM
33,39,5/23/18,12:49 PM,PL
34,41,5/24/18,10:58 AM,KT
35,45,5/25/18,1:33PM,AD
36,42,5/29/18,11:25 AM,CG
37,20,5/30/18,1:02 PM,PL
38,43,5/31/18,12:20 PM,KT
39,43,6/1/18,10:55 AM,GM
40,44,6/4/18,12:40 PM,KT
41,46,6/19/18,10:45 AM,KT
42,42,6/20/18,11:52 AM,GM
43,44,6/21/18,11:23 AM,KT
